marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,C10H18O,,tcm_verified.csv,Volatile oils,Hot-Dry,
methyleugenol,COC1=C(C=C(C=C1)CC=C)OC,C11H14O2,weak (PubChem self-reported formula),batch2.csv,Volatile oils,Hot-Dry,
morusin,CC(=CCC1=C(OC2=C(C1=O)C(=CC3=C2C=CC(O3)(C)C)O)C4=C(C=C(C=C4)O)O)C,C25H24O6,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
notoginsenoside R1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C,C47H80O18,weak (PubChem self-reported formula),batch1.csv,Saponins,Hot-Wet,
notopterol,CC(=CC(CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C)O)C,C21H22O5,weak (PubChem self-reported formula),batch2.csv,Volatile oils,Hot-Dry,
nuciferine,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)OC,C19H21NO2,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
oleanolic acid,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,weak (PubChem self-reported formula),batch2.csv,Fats and Oils,Cold-Temperate,
ophiopogonin D,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)OC7C(C(C(C(O7)C)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,C44H70O16,weak (PubChem self-reported formula),batch1.csv,Saponins,Hot-Wet,
pachymic acid,CC(C)C(=C)CCC(C1C(CC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,C33H52O5,weak (PubChem self-reported formula),batch2.csv,Fats and Oils,Cold-Temperate,
paeoniflorin,C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,C23H28O11,,tcm_verified.csv,Iridoids,Hot-Wet,
paeonol,CC(=O)C1=C(C=C(C=C1)OC)O,C9H10O3,weak (PubChem self-reported formula),batch1.csv,Volatile oils,Hot-Dry,
perillaldehyde,CC(=C)C1CCC(=CC1)C=O,C10H14O,weak (PubChem self-reported formula),batch2.csv,Volatile oils,Hot-Dry,
phillyrin,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)OC,C27H34O11,weak (PubChem self-reported formula),batch1.csv,Lignans,Hot-NS,
pinoresinol diglucoside,COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)OC6C(C(C(C(O6)CO)O)O)O,C32H42O16,weak (PubChem self-reported formula),batch1.csv,Lignans,Hot-NS,
