Herb_cn_name,Herb_name_pinyin,Property,Flavor,Meridian
白及,bai ji,cool,"sweet,bitter",lung
川贝母,chuan bei mu,cool,"sweet,bitter",lung
大蓟,da ji,cool,"sweet,bitter","liver,heart"
地黄,di huang,cool,"sweet,bitter","heart,liver,kidney"
罗布麻叶,luo bu ma ye,cool,"sweet,bitter",liver
木蝴蝶,mu hu die,cool,"sweet,bitter","liver,lung,stomach"
女贞子,nv zhen zi,cool,"sweet,bitter","liver,kidney"
小蓟,xiao ji,cool,"sweet,bitter","liver,heart"
独一味,du yi wei,even,"sweet,bitter",liver
红景天,hong jing tian,even,"sweet,bitter","lung,heart"
木贼,mu zei,even,"sweet,bitter","lung,liver"
桑寄生,sang ji sheng,even,"sweet,bitter","liver,kidney"
桃仁,tao ren,even,"sweet,bitter","largeintestine,liver,heart"
冬凌草,dong ling cao,mildly cold,"sweet,bitter","lung,liver,stomach"
菊花,ju hua,mildly cold,"sweet,bitter","lung,liver"
莱菔子,lai fu zi,mildly cold,"sweet,bitter","lung,liver,stomach"
平贝母,ping bei mu,mildly cold,"sweet,bitter","lung,heart"
石韦,shi wei,mildly cold,"sweet,bitter","bladder,lung"
伊贝母,yi bei mu,mildly cold,"sweet,bitter","lung,heart"
百部,bai bu,mildly warm,"sweet,bitter",lung
白术,bai zhu,warm,"sweet,bitter","spleen,stomach"
鸡血藤,ji xue teng,warm,"sweet,bitter","liver,kidney"
白果,bai guo,even,"sweet,bitter,astringent","lung,kidney"
何首乌,he shou wu,mildly warm,"sweet,bitter,astringent","liver,kidney,heart"
白蔹,bai lian,cool,"sweet,bitter,pungent","liver,spleen,heart"
郁李仁,yu li ren,even,"sweet,bitter,pungent","largeintestine,spleen,smallintestine"
决明子,jue ming zi,mildly cold,"sweet,bitter,salty","largeintestine,liver"
玄参,xuan shen,mildly cold,"sweet,bitter,salty","lung,kidney,stomach"
川牛膝,chuan niu xi,even,"sweet,bitter,sour","liver,kidney"
牛膝,niu xi,even,"sweet,bitter,sour","liver,kidney"
麻黄根,ma huang gen,even,"sweet,mildly astringent",lung
瓜蒌,gua lou,cold,"sweet,mildly bitter","largeintestine,lung,stomach"
鸡骨草,ji gu cao,cool,"sweet,mildly bitter","liver,stomach"
西洋参,xi yang shen,cool,"sweet,mildly bitter","lung,kidney,heart"
追风七（蓝布正）,zhui feng qi （lan bu zheng ）,cool,"sweet,mildly bitter","lung,liver,spleen"
太子参,tai zi shen,even,"sweet,mildly bitter","lung,spleen"
麦冬,mai dong,mildly cold,"sweet,mildly bitter","lung,stomach,heart"
明党参,ming dang shen,mildly cold,"sweet,mildly bitter","lung,liver,spleen"
天花粉,tian hua fen,mildly cold,"sweet,mildly bitter","lung,stomach"
人参,ren shen,mildly warm,"sweet,mildly bitter","lung,spleen,kidney,heart"
红参,hong shen,warm,"sweet,mildly bitter","lung,spleen,tripleburner,kidney,heartothers"
玫瑰花,mei gui hua,warm,"sweet,mildly bitter","liver,spleen"
三七,san qi,warm,"sweet,mildly bitter","liver,stomach"
月季花,yue ji hua,warm,"sweet,mildly bitter",liver
淫羊藿,yin yang huo,warm,"sweet,mildly bitter,pungent","liver,tripleburner,kidneyothers"
山慈菇,shan ci gu,cool,"sweet,mildly pungent","liver,spleen"
三白草,san bai cao,cold,"sweet,pungent","bladder,lung"
葛根,ge gen,cool,"sweet,pungent","lung,spleen,stomach"
蓖麻子,bi ma zi,even,"sweet,pungent","largeintestine,lung"
谷精草,gu jing cao,even,"sweet,pungent","lung,liver"
菟丝子,tu si zi,even,"sweet,pungent","liver,spleen,kidney"
附子,fu zi,great hot,"sweet,pungent","spleen,kidney,heart"
肉桂,rou gui,great hot,"sweet,pungent","liver,spleen,kidney,heart"
防风,fang feng,mildly warm,"sweet,pungent","bladder,liver,spleen"
八角茴香,ba jiao hui xiang,warm,"sweet,pungent","spleen,kidney"
巴戟天,ba ji tian,warm,"sweet,pungent","liver,kidney"
当归,dang gui,warm,"sweet,pungent","liver,spleen,heart"
甘松,gan song,warm,"sweet,pungent","spleen,stomach"
桂枝,gui zhi,warm,"sweet,pungent","bladder,lung,heart"
黑种草子,hei zhong cao zi,warm,"sweet,pungent",others
韭菜子,jiu cai zi,warm,"sweet,pungent","liver,kidney"
海金沙,hai jin sha,cold,"sweet,salty","bladder,smallintestineothers"
紫草,zi cao,cold,"sweet,salty","liver,heart"
苏木,su mu,even,"sweet,salty","liver,spleen,heart"
血竭,xue jie,even,"sweet,salty","liver,heart"
金钱草,jin qian cao,mildly cold,"sweet,salty","bladder,gallbladder,liver,kidney"
肉苁蓉,rou cong rong,warm,"sweet,salty","largeintestine,kidney"
墨旱莲,mo han lian,cool,"sweet,sour","kidney,liver"
赤小豆,chi xiao dou,even,"sweet,sour","smallintestine,heartothers"
青果,qing guo,even,"sweet,sour","lung,stomach"
酸枣仁,suan zao ren,even,"sweet,sour","gallbladder,liver,heart"
山楂,shan zha,mildly warm,"sweet,sour","liver,spleen,stomach"
覆盆子,fu pen zi,warm,"sweet,sour","Liver,Kidney,Bladder"
南五味子,nan wu wei zi,warm,"sweet,sour","lung,kidney,heart"
五味子,wu wei zi,warm,"sweet,sour","lung,kidney,heart"
石膏,shi gao,great cold,"sweet,pungent","lung,stomach"
鳖甲,bie jia,mildly cold,salty,"liver,kidney"
地龙,di long,cold,salty,"liver,spleen,bladder"
珍珠,zhen zhu,cold,"sweet,salty","heart,liver"
牡蛎,mu li,mildly cold,salty,"liver,gallbladder,kidney"
龟甲,gui jia,mildly cold,"salty,sweet","liver,kidney,heart"
牛黄,niu huang,cold,sweet,"heart,liver"
